scientific_name,longitude,latitude
Submontane scrub,-99.83763921,21.23736067
Submontane scrub,-99.63763921,22.020694
Submontane scrub,-99.37097255,20.770694
Submontane scrub,-99.56263921,20.720694
Submontane scrub,-99.75430588,21.63736066
Submontane scrub,-99.80430588,21.25402733
Submontane scrub,-99.81263921,21.820694
Submontane scrub,-99.97097254,21.50402733
Submontane scrub,-100.0043059,21.81236066
Submontane scrub,-99.51263921,20.77902733
Submontane scrub,-99.77930588,21.920694
Submontane scrub,-100.1459725,21.55402733
Submontane scrub,-99.81263921,21.67902733
Submontane scrub,-100.1293059,21.545694
Submontane scrub,-99.80430588,21.26236067
Submontane scrub,-99.77097254,21.970694
Submontane scrub,-99.84597254,21.870694
Submontane scrub,-99.94597254,21.42902733
Submontane scrub,-99.85430588,21.87902733
Submontane scrub,-99.87930588,21.970694
Submontane scrub,-100.1876392,21.520694
Submontane scrub,-99.73763921,21.86236066
Submontane scrub,-99.52097254,20.820694
Submontane scrub,-99.77930588,21.96236066
Submontane scrub,-99.92097254,21.77902733
Submontane scrub,-99.52097254,21.01236067
Submontane scrub,-99.85430588,21.73736066
Submontane scrub,-99.80430588,21.245694
Submontane scrub,-99.52097254,21.02902733
Submontane scrub,-98.59597255,20.51236067
Submontane scrub,-99.71263921,21.63736066
Submontane scrub,-100.1543059,21.95402733
Submontane scrub,-99.59597254,20.72902733
Submontane scrub,-99.82097254,21.770694
Submontane scrub,-98.92930588,20.745694
Submontane scrub,-99.94597254,21.46236066
Submontane scrub,-99.29597255,21.20402733
Submontane scrub,-99.77097254,21.96236066
Submontane scrub,-100.0459725,21.52902733
Submontane scrub,-99.85430588,21.86236066
Submontane scrub,-99.37930588,20.920694
Submontane scrub,-99.42097255,20.90402733
Submontane scrub,-99.87097254,21.770694
Submontane scrub,-99.75430588,21.645694
Submontane scrub,-99.82097254,21.67902733
Submontane scrub,-100.0293059,21.720694
Submontane scrub,-100.0376392,21.36236067
Submontane scrub,-99.80430588,21.30402733
Submontane scrub,-99.79597254,21.695694
Submontane scrub,-99.76263921,21.77902733
Submontane scrub,-99.67930588,21.57902733
Submontane scrub,-100.0876392,21.620694
Submontane scrub,-100.1209725,21.52902733
Submontane scrub,-99.73763921,21.71236066
Submontane scrub,-99.76263921,21.76236066
Submontane scrub,-100.1043059,21.545694
Submontane scrub,-99.84597254,21.295694
Submontane scrub,-99.83763921,21.86236066
Submontane scrub,-99.72097254,21.11236067
Submontane scrub,-99.60430588,20.95402733
Submontane scrub,-99.76263921,21.72902733
Submontane scrub,-99.86263921,21.95402733
Submontane scrub,-99.76263921,21.93736066
Submontane scrub,-100.1709725,21.620694
Submontane scrub,-99.95430588,21.81236066
Submontane scrub,-99.76263921,21.90402733
Submontane scrub,-99.80430588,21.820694
Submontane scrub,-100.0209725,21.57902733
Submontane scrub,-99.28763921,21.03736067
Submontane scrub,-99.87097254,21.91236066
Submontane scrub,-99.87930588,21.37902733
Submontane scrub,-99.81263921,21.28736067
Submontane scrub,-99.87930588,21.720694
Submontane scrub,-99.77930588,21.25402733
Submontane scrub,-99.76263921,21.720694
Submontane scrub,-99.82097254,21.83736066
Submontane scrub,-100.0876392,21.570694
Submontane scrub,-99.47930588,20.78736067
Submontane scrub,-99.52097254,21.020694
Submontane scrub,-99.72097254,21.10402733
Submontane scrub,-100.1209725,21.61236066
Submontane scrub,-99.77097254,21.870694
Submontane scrub,-100.1043059,21.56236066
Submontane scrub,-100.0376392,21.320694
Submontane scrub,-98.67097255,20.58736067
Submontane scrub,-100.0043059,21.445694
Submontane scrub,-99.75430588,21.795694
Submontane scrub,-99.74597254,21.770694
Submontane scrub,-99.97097254,21.520694
Submontane scrub,-99.53763921,21.03736067
Submontane scrub,-99.62097254,21.02902733
Submontane scrub,-99.82097254,21.86236066
Submontane scrub,-99.74597254,21.10402733
Submontane scrub,-99.73763921,21.63736066
Submontane scrub,-100.0626392,21.820694
Submontane scrub,-100.0543059,21.30402733
Submontane scrub,-100.1626392,21.745694
Submontane scrub,-100.0959725,21.77902733
Submontane scrub,-99.76263921,21.71236066
Submontane scrub,-99.82930588,21.28736067
Submontane scrub,-99.84597254,21.83736066
Submontane scrub,-99.46263921,20.77902733
Submontane scrub,-100.0126392,21.72902733
Submontane scrub,-99.38763921,20.920694
Submontane scrub,-99.87097254,21.920694
Submontane scrub,-99.87930588,21.38736067
Submontane scrub,-99.40430588,20.77902733
Submontane scrub,-99.77097254,21.90402733
Submontane scrub,-100.1043059,21.37902733
Submontane scrub,-99.88763921,21.78736066
Submontane scrub,-99.78763921,21.23736067
Submontane scrub,-100.1293059,21.61236066
Submontane scrub,-99.60430588,20.73736067
Submontane scrub,-99.48763921,20.78736067
Submontane scrub,-100.1543059,21.57902733
Submontane scrub,-99.87097254,21.15402733
Submontane scrub,-99.80430588,21.90402733
Submontane scrub,-99.77097254,21.80402733
Submontane scrub,-100.0293059,21.595694
Submontane scrub,-99.74597254,21.73736066
Submontane scrub,-100.0209725,21.570694
Submontane scrub,-99.09597255,20.645694
Submontane scrub,-99.55430588,20.82902733
Submontane scrub,-98.67930588,20.57902734
Submontane scrub,-100.0126392,21.58736066
Submontane scrub,-98.90430588,20.73736067
Submontane scrub,-99.57097254,20.72902733
Submontane scrub,-100.0209725,21.78736066
Submontane scrub,-99.87930588,21.78736066
Submontane scrub,-100.1459725,21.920694
Submontane scrub,-100.1626392,21.96236066
Submontane scrub,-100.1293059,21.55402733
Submontane scrub,-100.1376392,21.520694
Submontane scrub,-100.0376392,21.720694
Submontane scrub,-99.82930588,21.87902733
Submontane scrub,-98.91263921,20.75402733
Submontane scrub,-100.1043059,21.870694
Submontane scrub,-100.0959725,21.795694
Submontane scrub,-99.76263921,21.195694
Submontane scrub,-99.07097255,20.87902733
Submontane scrub,-99.07930588,20.895694
Submontane scrub,-99.85430588,21.91236066
Submontane scrub,-99.68763921,20.870694
Submontane scrub,-99.90430588,21.795694
Submontane scrub,-100.1126392,21.88736066
Submontane scrub,-99.52930588,21.01236067
Submontane scrub,-99.75430588,21.96236066
Submontane scrub,-99.48763921,20.745694
Submontane scrub,-99.46263921,20.80402733
Submontane scrub,-99.29597255,21.195694
Submontane scrub,-99.86263921,21.15402733
Submontane scrub,-99.96263921,21.80402733
Submontane scrub,-99.23763921,21.28736067
Submontane scrub,-99.63763921,21.02902733
Submontane scrub,-99.75430588,22.01236066
Submontane scrub,-100.0126392,21.61236066
Submontane scrub,-99.85430588,21.26236067
Submontane scrub,-99.76263921,21.695694
Submontane scrub,-99.86263921,21.970694
Submontane scrub,-99.00430588,20.80402733
Submontane scrub,-100.3043059,21.670694
Submontane scrub,-100.1543059,21.545694
Submontane scrub,-99.97097254,21.80402733
Submontane scrub,-99.90430588,21.13736067
Submontane scrub,-99.84597254,21.82902733
Submontane scrub,-99.87097254,21.570694
Submontane scrub,-99.97930588,21.56236066
Submontane scrub,-100.1209725,21.55402733
Submontane scrub,-99.83763921,21.27902733
Submontane scrub,-99.51263921,20.80402733
Submontane scrub,-99.87930588,21.96236066
Submontane scrub,-100.1209725,21.78736066
Submontane scrub,-99.95430588,21.470694
Submontane scrub,-99.76263921,21.770694
Submontane scrub,-99.87097254,21.96236066
Submontane scrub,-100.1626392,21.58736066
Submontane scrub,-100.0293059,21.545694
Submontane scrub,-99.46263921,21.01236067
Submontane scrub,-100.0459725,21.51236066
Submontane scrub,-100.1876392,21.545694
Submontane scrub,-99.59597254,20.73736067
Submontane scrub,-99.27097255,21.03736067
Submontane scrub,-99.82930588,21.870694
Submontane scrub,-100.0793059,21.50402733
Submontane scrub,-100.1626392,21.545694
Submontane scrub,-100.0793059,21.58736066
Submontane scrub,-99.64597254,21.00402733
Submontane scrub,-99.86263921,21.87902733
Submontane scrub,-99.72930588,21.695694
Submontane scrub,-99.85430588,21.95402733
Submontane scrub,-99.87097254,21.97902733
Submontane scrub,-100.0126392,21.70402733
Submontane scrub,-99.80430588,21.66236066
Submontane scrub,-99.40430588,20.970694
Submontane scrub,-100.1043059,21.87902733
Submontane scrub,-99.41263921,20.91236067
Submontane scrub,-99.91263921,21.370694
Submontane scrub,-100.0293059,21.795694
Submontane scrub,-99.27097255,21.070694
Submontane scrub,-99.82930588,21.23736067
Submontane scrub,-100.1543059,21.670694
Submontane scrub,-100.1043059,21.570694
Submontane scrub,-99.85430588,21.70402733
Submontane scrub,-100.0209725,21.71236066
Submontane scrub,-99.96263921,21.81236066
Submontane scrub,-100.0209725,21.620694
Submontane scrub,-100.1793059,21.63736066
Submontane scrub,-99.60430588,20.72902733
Submontane scrub,-99.47930588,20.795694
Submontane scrub,-99.77097254,22.01236066
Submontane scrub,-100.1043059,21.57902733
Submontane scrub,-99.76263921,21.995694
Submontane scrub,-99.87930588,21.570694
Submontane scrub,-99.97097254,21.620694
Submontane scrub,-99.97930588,21.545694
Submontane scrub,-99.87097254,21.38736067
Submontane scrub,-99.84597254,21.845694
Submontane scrub,-100.0876392,21.53736066
Submontane scrub,-100.2043059,21.595694
Submontane scrub,-99.73763921,21.720694
Submontane scrub,-100.0126392,21.32902733
Submontane scrub,-100.1293059,21.795694
